species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,bill_ratio
Adelie,Biscoe,35.5,16.2,195,3350,2.191358024691358
Adelie,Biscoe,41.1,19.1,188,4100,2.1518324607329844
Adelie,Torgersen,35.9,16.6,190,3050,2.1626506024096384
Adelie,Torgersen,41.8,19.4,198,4450,2.154639175257732
Adelie,Torgersen,33.5,19,190,3600,1.763157894736842
Adelie,Torgersen,39.7,18.4,190,3900,2.1576086956521743
Adelie,Torgersen,39.6,17.2,196,3550,2.302325581395349
Adelie,Torgersen,45.8,18.9,197,4150,2.4232804232804233
Adelie,Torgersen,35.5,17.5,190,3700,2.0285714285714285
Adelie,Torgersen,42.8,18.5,195,4250,2.3135135135135134
Adelie,Torgersen,40.9,16.8,191,3700,2.4345238095238093
Adelie,Torgersen,37.2,19.4,184,3900,1.9175257731958766
Adelie,Torgersen,36.2,16.1,187,3550,2.248447204968944
Adelie,Torgersen,42.1,19.1,195,4000,2.2041884816753927
Adelie,Torgersen,34.6,17.2,189,3200,2.011627906976744
Adelie,Torgersen,42.9,17.6,196,4700,2.4374999999999996
Adelie,Torgersen,36.7,18.8,187,3800,1.952127659574468
Adelie,Torgersen,35.1,19.4,193,4200,1.8092783505154642
Adelie,Dream,37.3,17.8,191,3350,2.095505617977528
Adelie,Dream,41.3,20.3,194,3550,2.0344827586206895
Adelie,Dream,36.3,19.5,190,3800,1.8615384615384614
Adelie,Dream,36.9,18.6,189,3500,1.9838709677419353
Adelie,Dream,38.3,19.2,189,3950,1.9947916666666665
Adelie,Dream,38.9,18.8,190,3600,2.0691489361702127
Adelie,Dream,35.7,18,202,3550,1.9833333333333334
Adelie,Dream,41.1,18.1,205,4300,2.270718232044199
Adelie,Dream,34,17.1,185,3400,1.9883040935672514
Adelie,Dream,39.6,18.1,186,4450,2.187845303867403
Adelie,Dream,36.2,17.3,187,3300,2.092485549132948
Adelie,Dream,40.8,18.9,208,4300,2.1587301587301586
Adelie,Dream,38.1,18.6,190,3700,2.0483870967741935
Adelie,Dream,40.3,18.5,196,4350,2.1783783783783783
Adelie,Dream,33.1,16.1,178,2900,2.0559006211180124
Adelie,Dream,43.2,18.5,192,4100,2.3351351351351353
Adelie,Biscoe,35,17.9,192,3725,1.9553072625698324
Adelie,Biscoe,41,20,203,4725,2.05
Adelie,Biscoe,37.7,16,183,3075,2.35625
Adelie,Biscoe,37.8,20,190,4250,1.89
Adelie,Biscoe,37.9,18.6,193,2925,2.0376344086021505
Adelie,Biscoe,39.7,18.9,184,3550,2.100529100529101
Adelie,Biscoe,38.6,17.2,199,3750,2.244186046511628
Adelie,Biscoe,38.2,20,190,3900,1.9100000000000001
Adelie,Biscoe,38.1,17,181,3175,2.2411764705882353
Adelie,Biscoe,43.2,19,197,4775,2.2736842105263158
Adelie,Biscoe,38.1,16.5,198,3825,2.309090909090909
Adelie,Biscoe,45.6,20.3,191,4600,2.2463054187192117
Adelie,Biscoe,39.7,17.7,193,3200,2.2429378531073447
Adelie,Biscoe,42.2,19.5,197,4275,2.1641025641025644
Adelie,Biscoe,39.6,20.7,191,3900,1.9130434782608696
Adelie,Biscoe,42.7,18.3,196,4075,2.3333333333333335
Adelie,Torgersen,38.6,17,188,2900,2.2705882352941176
Adelie,Torgersen,37.3,20.5,199,3775,1.819512195121951
Adelie,Torgersen,35.7,17,189,3350,2.1
Adelie,Torgersen,41.1,18.6,189,3325,2.2096774193548385
Adelie,Torgersen,36.2,17.2,187,3150,2.104651162790698
Adelie,Torgersen,37.7,19.8,198,3500,1.9040404040404042
Adelie,Torgersen,40.2,17,176,3450,2.364705882352941
Adelie,Torgersen,41.4,18.5,202,3875,2.2378378378378376
Adelie,Torgersen,35.2,15.9,186,3050,2.2138364779874213
Adelie,Torgersen,40.6,19,199,4000,2.136842105263158
Adelie,Torgersen,38.8,17.6,191,3275,2.204545454545454
Adelie,Torgersen,41.5,18.3,195,4300,2.26775956284153
Adelie,Torgersen,39,17.1,191,3050,2.280701754385965
Adelie,Torgersen,44.1,18,210,4000,2.45
Adelie,Torgersen,38.5,17.9,190,3325,2.1508379888268156
Adelie,Torgersen,43.1,19.2,197,3500,2.244791666666667
Adelie,Dream,36.8,18.5,193,3500,1.989189189189189
Adelie,Dream,37.5,18.5,199,4475,2.027027027027027
Adelie,Dream,38.1,17.6,187,3425,2.164772727272727
Adelie,Dream,41.1,17.5,190,3900,2.3485714285714288
Adelie,Dream,35.6,17.5,191,3175,2.0342857142857143
Adelie,Dream,40.2,20.1,200,3975,2
Adelie,Dream,37,16.5,185,3400,2.242424242424242
Adelie,Dream,39.7,17.9,193,4250,2.217877094972067
Adelie,Dream,40.2,17.1,193,3400,2.350877192982456
Adelie,Dream,40.6,17.2,187,3475,2.36046511627907
Adelie,Dream,32.1,15.5,188,3050,2.070967741935484
Adelie,Dream,40.7,17,190,3725,2.394117647058824
Adelie,Dream,37.3,16.8,192,3000,2.220238095238095
Adelie,Dream,39,18.7,185,3650,2.085561497326203
Adelie,Dream,39.2,18.6,190,4250,2.10752688172043
Adelie,Dream,36.6,18.4,184,3475,1.9891304347826089
Adelie,Dream,36,17.8,195,3450,2.0224719101123596
Adelie,Dream,37.8,18.1,193,3750,2.0883977900552484
Adelie,Dream,36,17.1,187,3700,2.1052631578947367
Adelie,Dream,41.5,18.5,201,4000,2.2432432432432434
